nusp,e-mail,nome,instituicao,departamento,link_lattes,codigo_CV,codigo_hist
13,alfa@polinet.org.br,Alfa da Silva,EPUSP,PME,,,
14,beta@polinet.org.br,Beta de Souza,EPUSP,PMR,,,
15,gama@polinet.org.br,Gama de Oliveira,EPUSP,PMR,,,
16,delta@polinet.org.br,Delta Machado,IME,MAT,,,
17,epsilon@polinet.org.br,Epsilon Leme,EPUSP,PTR,,,
18,zeta@polinet.org.br,Zeta Carvalho,IME,MAT,,,
19,etatheta@polinet.org.br,Eta Theta Rodrigues,EPUSP,PSI,,,
20,iota@polinet.org.br,Iota dos Santos,EPUSP,PMR,,,
21,capa@polinet.org.br,Capa de Matos,EPUSP,PMT,,,
22,lambda@polinet.org.br,Lambda Alves,EPUSP,PEA,,,
23,mini@polinet.org.br,Mi Ni Pires,IME,MAT,,,
24,psiomicron@polinet.org.br,Psi Omicron Nogueira,EPUSP,PME,,,
